,r1903c111_10m-3,r1903c117_50m-3,r1903c118_23m-3,r1903c119_11m-3,r1903c122_28m-3,r1903c123_10m-3,r1903c124_15m-3,r1903c126_45m-3,r1903c127_7m-3,r1903c129_26m-3,r1903c144_13m-3,rLas19c107_10m-3,rLas19c135_5m-3,rLas19c138_27m-3,ri1903c111_10m-1,ri1903c111_10m-2,ri1903c117_50m-1,ri1903c118_23m-2,ri1903c119_11m-2,ri1903c122_28m-1,ri1903c122_28m-2,ri1903c123_10m-2,ri1903c124_15m-1,ri1903c124_15m-2,ri1903c126_45m-1,ri1903c126_45m-2,ri1903c127_7m-2,ri1903c129_26m-1,ri1903c129_26m-2,ri1903c144_13m-2,riLas19c107_10m-2,riLas19c135_5m-1,riLas19c135_5m-2,riLas19c138_27m-1
TAX_341,0,336200,0,342200,70600,97400,64400,492400,0,265600,116000,0,313800,425800,61000,60200,0,0,0,58600,72000,0,84200,0,59200,77800,0,85000,99200,0,68000,62800,0,295600
TAX_342,0,744600,0,669400,516000,505800,175000,746000,0,549200,575600,0,762400,757000,185400,176000,194800,0,0,269000,293800,54000,0,76200,230000,217200,64200,306000,283200,170200,158800,203800,78400,682000
TAX_343,0,166600,0,110400,0,55600,0,193800,0,74400,68800,0,192000,176600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83200
TAX_344,0,0,0,128800,0,0,0,74600,0,73600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_345,0,0,0,167800,0,0,0,131800,0,75400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_346,0,0,0,283000,0,0,0,355000,0,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800
TAX_347,0,0,0,67600,0,0,0,78800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134200
TAX_349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56600,0,0,0,0,0
TAX_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53800
TAX_351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57800
TAX_352,0,297600,0,141200,0,0,0,71600,0,0,0,0,0,87000,91800,70400,238800,0,206600,111000,0,177400,231200,197000,0,0,62600,0,0,153200,250600,87600,79200,52600
TAX_353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86400
TAX_354,0,167800,0,0,0,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64200
TAX_355,0,84800,0,0,0,0,124400,0,0,0,0,0,0,0,50600,0,0,0,0,56400,0,0,0,0,0,0,0,56000,0,0,0,0,0,166400
TAX_356,0,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000
TAX_358,0,343800,0,500000,0,0,100800,176000,0,124600,0,0,51000,380200,558800,507600,579000,301000,557600,612600,330600,478600,577600,615400,0,0,596000,455000,225600,628200,540800,559400,330200,543200
TAX_359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55800
TAX_360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173000
TAX_361,0,281600,0,0,0,0,0,0,0,0,0,0,0,0,80400,82200,125000,0,64600,258000,285000,0,59200,0,0,54600,57600,114200,150400,0,220600,0,0,0
TAX_362,0,172800,0,0,0,0,0,0,0,0,0,0,0,0,159400,156800,0,61800,0,162800,177800,62000,0,0,168600,182800,0,194000,235200,0,83800,73000,0,104400
TAX_363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56200
TAX_364,0,53200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_365,0,0,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_366,0,64400,0,0,0,0,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_367,0,86200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_368,0,164800,0,0,0,0,159600,52600,0,0,0,0,0,92600,70600,0,0,0,0,84200,0,0,0,0,0,0,0,64200,0,0,0,0,0,113000
TAX_369,0,50200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_370,0,147000,0,0,0,0,133800,63200,0,0,0,0,0,95200,67200,0,0,0,0,73600,0,0,0,0,0,0,0,58400,0,0,0,0,0,106200
TAX_371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600,0,0,0,0
TAX_372,0,78000,0,0,0,0,66200,0,0,0,0,0,0,50600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65800,0,0,0,79800
TAX_373,0,102600,0,0,0,0,81200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
TAX_374,0,75800,0,0,0,0,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_375,0,104800,0,0,0,0,69400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60800
TAX_376,0,68400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_377,0,51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_378,0,54200,0,0,0,0,61200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400
TAX_380,0,60400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_381,0,135400,0,0,0,0,78400,0,0,0,0,0,0,0,52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000
TAX_382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90800,0,0,0,0,62600,121600,0
TAX_383,0,365400,0,116600,0,0,371000,261400,0,0,0,0,158400,308400,240400,171800,181600,196800,106800,313800,57400,0,120600,120800,102000,114600,267600,211800,103200,276200,156600,186000,279600,315400
TAX_384,0,114800,0,0,0,0,96200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56600,0
TAX_385,0,58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_386,0,82600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50800,0,0,0,0,0,0,0,0,0,0,0,0,0,54600
TAX_387,0,378000,0,0,0,0,205400,0,0,0,0,0,0,83200,110200,68400,90600,50000,0,260000,0,0,0,0,0,0,107000,104600,0,107800,50000,76000,126400,205200
TAX_388,0,101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86400,87200,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_389,0,79600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400,65000,0,0,0,0,0,0,176200,54800,0,0,0,0,196200
TAX_390,0,261000,0,0,0,0,65200,0,0,0,0,0,0,0,137000,130000,0,0,0,255200,250600,0,0,0,138600,147400,0,0,186400,0,0,69200,52600,54200
TAX_391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59600,74800,0,66000,100400,0,0,0,0,62400
TAX_392,0,418200,0,0,0,0,56200,0,0,0,0,0,0,0,91800,92800,71000,0,121200,391600,404800,0,0,0,102000,107600,55200,119400,125600,0,71400,285000,61000,128200
TAX_393,0,141200,0,0,0,0,290200,0,0,0,0,0,0,125400,349800,341600,277800,183600,0,124400,126400,138400,145000,99400,405000,410600,181400,406600,394200,168200,269000,83000,211400,419800
TAX_394,0,525400,0,0,0,0,87000,0,0,0,0,0,0,53400,317200,320800,172600,109800,107400,522600,517000,87000,104600,68400,256600,274200,250800,379800,421000,131000,163200,312800,245600,395600
TAX_395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57600
TAX_396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400,0,0,0,0,55600,56400,0,114200,99400,0,0,0,0,0
TAX_397,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103800,0,0,0,115400,120600,0,0,219600,0,0,0,0,79400
TAX_398,0,269600,0,0,0,0,185800,0,0,0,0,0,0,76800,84000,50200,64800,0,0,117200,0,0,0,0,0,0,0,118200,0,62000,0,0,0,289600
TAX_399,0,0,0,89800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_400,0,447800,0,340000,0,0,0,471000,0,175600,0,0,363000,504800,92200,94400,146600,0,91400,144800,166800,96800,94000,78800,0,0,122000,117200,135000,163400,161800,217000,160200,149800
TAX_401,0,727600,0,207400,0,0,0,51600,0,0,0,0,209800,103200,223400,166200,265600,80000,223600,324800,87400,181600,278400,252200,0,0,326000,131400,55000,300200,288400,310200,624800,213600
TAX_402,0,286600,0,296600,0,114400,0,0,0,163000,0,0,61600,70200,0,51400,140800,0,174200,50600,60800,336200,377800,334400,0,0,0,0,0,0,371600,0,0,0
TAX_403,0,0,0,82200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83000,81800,70200,0,0,0,0,0,0,94000,0,0,0
TAX_404,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54800
TAX_406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0
TAX_407,0,0,0,0,0,0,0,124400,0,0,0,0,0,77600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_408,0,381000,0,139600,0,0,0,516800,0,0,0,0,0,274800,168000,173800,162000,0,146000,208000,284200,273400,290200,226800,0,0,166000,204600,320200,183200,302600,256800,188400,511400
TAX_409,0,73400,0,0,0,0,0,0,0,0,0,0,0,180800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_410,0,142200,0,0,0,0,78000,0,0,0,0,0,0,0,61800,0,60600,0,0,60200,0,0,0,0,0,0,0,72200,0,0,54800,0,0,342200
TAX_411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119000
TAX_412,0,99800,0,0,0,0,0,0,0,0,0,0,0,0,60200,0,0,0,0,52000,0,0,0,0,0,0,0,55600,0,50600,0,0,0,273600
TAX_413,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_414,0,913400,0,420200,0,54400,0,838000,0,257600,0,0,311600,877000,766200,748600,741200,159200,659000,842400,847800,654400,660000,518200,191000,204600,711000,742000,766000,574400,788400,853200,768600,824000
TAX_415,0,680800,0,909200,0,263800,0,200200,0,674800,91200,0,846400,555400,102200,106000,75000,0,0,166400,235800,129800,132800,112400,62000,66600,86400,76800,98200,70600,184800,167400,107200,0
TAX_416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52800,0,0,0,0,0,71600
TAX_417,0,130400,0,0,0,0,64800,83600,0,0,0,0,0,139800,95000,73600,0,0,0,50600,0,0,0,0,0,0,0,148400,81600,0,0,0,0,204400
TAX_418,0,183600,0,0,0,0,63000,55000,0,0,0,0,0,127800,59000,86400,0,0,0,0,0,0,0,0,76600,0,0,154000,0,0,0,0,0,186200
TAX_419,0,91600,0,0,0,0,136400,107800,0,0,0,0,0,69800,108000,0,54200,57000,0,93800,0,0,0,0,0,72800,0,65800,77000,0,61800,0,0,90000
TAX_420,0,479000,0,80200,0,0,0,73600,0,59600,0,0,0,365600,0,0,0,0,0,108800,182400,0,0,0,0,0,52200,0,51800,0,0,123200,80000,0
TAX_421,0,145000,0,72600,0,0,0,77200,0,0,0,0,146000,124600,121000,125200,114400,0,129000,120800,136400,110600,116200,102200,0,0,125800,91800,111200,99000,126400,143200,140800,64800
TAX_422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51800,0,0,0,0,0,119400
TAX_423,0,63800,0,0,0,0,0,0,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600,60200,55600,0
TAX_424,0,432200,0,200800,0,0,0,253800,0,116800,0,0,50000,444200,417800,422000,380200,66600,400600,418600,481600,365600,417200,370200,0,0,460400,343600,445200,431200,423200,590000,499800,234600
TAX_425,0,792000,0,221800,0,70200,0,0,0,112600,0,0,106800,242000,0,0,0,0,0,80600,115600,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_426,0,322200,0,755000,0,364000,0,63000,0,771200,149600,0,435800,731400,0,0,116800,0,94400,298200,414800,225000,206800,183200,0,0,103400,106400,161600,124200,282200,197000,124000,0
TAX_427,0,0,0,0,0,0,0,0,0,51000,0,0,78200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_428,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_429,0,406000,0,0,0,0,0,0,0,0,0,0,405600,157600,0,0,0,0,0,81200,53600,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_430,0,570200,0,486600,0,199200,0,69600,0,338400,0,0,113600,232200,112400,115000,0,0,0,235600,323200,163800,126600,107600,0,0,0,0,0,52200,174600,0,0,0
TAX_431,0,0,0,55800,0,0,0,0,0,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_432,0,0,0,92200,0,0,0,0,0,78800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108800
TAX_434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68600
TAX_435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000
TAX_436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87800
TAX_437,0,0,0,0,0,0,0,0,0,0,0,0,0,65800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_438,0,205400,0,0,0,0,150800,0,0,0,0,0,0,0,0,0,0,0,0,92400,0,0,0,0,0,0,0,0,0,150800,0,0,0,133400
TAX_439,0,50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327600
TAX_440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202200
TAX_441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400
TAX_442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59400
TAX_443,0,212200,0,284400,0,0,0,0,0,0,0,0,0,122200,53800,61400,75400,0,0,73800,131800,95200,67000,59800,0,0,0,0,96400,0,53600,106800,65600,0
TAX_444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55800,0,0,0,0,0,0,0,286400
TAX_445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88400
TAX_446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400
TAX_447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71600
TAX_448,0,0,0,186800,0,0,0,225800,0,68800,0,0,0,0,0,0,0,0,0,0,0,97200,99400,78200,0,0,0,0,0,0,185200,0,0,153800
TAX_449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71000,0,0,50800
TAX_450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115800
TAX_451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86400
TAX_452,0,0,0,0,0,0,0,168400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136600
TAX_453,0,61400,0,0,0,0,0,124200,0,0,0,0,0,76200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76400
TAX_454,0,55000,0,99200,0,0,0,599600,0,0,0,0,0,52600,0,60000,0,0,0,0,0,0,0,0,90200,112800,0,0,0,0,135800,0,0,454000
TAX_455,0,248800,0,238600,0,0,0,466400,0,0,0,0,101800,319200,0,0,0,0,0,0,50200,0,0,0,0,0,0,55200,57400,55400,56000,0,0,283200
TAX_456,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_457,0,192400,0,0,0,0,65000,92000,0,0,0,0,0,95600,85800,56000,72800,0,0,173600,52800,0,0,0,0,0,108400,77800,0,104600,0,107000,123200,151000
TAX_458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000
TAX_459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77200
TAX_460,0,80400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50800,97000,84800,68200,0,108200,82400,198000
TAX_461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60400
TAX_462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
TAX_463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120800
TAX_465,0,64400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56800
TAX_467,0,54200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89400
TAX_468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0
TAX_469,0,128800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131200,104800,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_470,0,403000,0,145000,0,0,317400,0,0,0,0,0,0,116600,334800,292800,381600,131600,244600,344800,132800,286000,365600,341400,193400,177400,352000,329400,192600,401600,367200,362600,376000,422400
TAX_471,0,65800,0,0,0,0,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168400
TAX_472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63200
TAX_473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,62400,0,0,108200
TAX_474,0,75200,0,0,0,0,0,0,0,0,0,0,0,0,63400,0,61200,0,0,0,0,0,0,0,0,0,0,51600,0,52600,54800,0,0,126600
TAX_475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56200
TAX_476,0,181400,0,0,0,0,112200,0,0,0,0,0,0,0,144000,112200,178200,0,77000,118600,0,100800,147800,113000,59000,56200,109600,130200,58800,160600,169600,139000,130400,236400
TAX_477,0,0,0,0,0,0,0,73400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_478,0,382200,0,433400,0,0,0,272200,0,260800,0,0,178600,681200,103200,122800,157800,0,154400,81800,126800,160800,178200,170600,0,0,259200,129200,167800,436800,235000,460000,344000,90200
TAX_479,0,0,0,0,0,0,0,107200,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_480,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_481,0,54600,0,340600,0,90200,0,209200,0,171600,0,0,0,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84400,0,73600,52400,64000
TAX_482,0,977200,0,788000,0,394600,0,847600,0,349400,168000,0,806000,969600,739000,753200,508200,0,422000,850600,885200,548400,615000,572600,62200,73400,750800,626800,680000,693600,674200,826400,722600,377800
TAX_483,0,474000,0,50000,0,0,0,0,0,0,0,0,0,0,414200,438200,357800,64800,335800,448800,495400,426000,398800,313000,0,51600,286000,294600,423800,203800,419000,337200,292200,198000
TAX_484,0,0,0,0,0,0,0,79600,0,0,0,0,0,112400,0,0,0,0,0,0,0,0,0,0,51800,56800,0,0,106600,0,0,0,0,50200
TAX_485,0,363800,0,142400,0,0,0,519200,0,0,0,0,460600,518200,109400,114800,0,0,0,113800,168400,0,0,0,180200,218000,0,181400,270000,0,91800,0,0,262200
TAX_486,0,96400,0,0,0,0,0,0,0,0,0,0,0,0,67600,81000,0,0,52800,83600,116800,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_487,0,64000,0,0,0,0,0,0,0,0,0,0,0,60400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_488,0,0,0,0,0,0,0,63800,0,0,0,0,83200,100600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_489,0,114000,0,0,0,0,0,324800,0,0,0,0,0,315800,0,0,0,0,0,0,53600,0,0,0,0,0,0,74600,0,0,0,0,0,125000
TAX_490,0,63400,0,0,0,0,0,101200,0,0,0,0,136400,71200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_491,0,245400,0,400000,197800,318400,0,229600,0,246600,218000,0,379400,228000,359200,370400,322200,137400,294800,408000,419000,344800,321400,304200,134400,153400,322000,401200,407000,324800,366400,373200,332400,227800
TAX_492,0,66600,0,0,0,0,0,0,0,0,0,0,0,0,53800,58200,51800,0,0,61200,70600,63000,56800,0,0,0,0,0,60200,0,62400,0,0,0
TAX_493,0,442200,0,188200,87600,124200,0,397400,0,0,87800,0,226400,398200,178400,186800,136800,0,123800,215600,230800,140400,137600,126000,74400,79400,134400,206800,210800,141400,166800,174000,150800,458200
TAX_494,0,132600,0,73800,0,58000,128600,132800,0,100600,0,0,97800,138200,65400,72400,60000,54200,56200,85000,98000,65200,62000,63000,328800,355400,57400,70400,76000,63000,60800,77200,68600,89200
TAX_495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55400,0,0,0
TAX_496,0,0,0,0,0,0,0,0,0,0,0,0,828200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_497,0,0,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_498,0,0,0,0,0,0,0,0,0,0,0,0,66600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_499,0,0,0,0,0,0,0,0,0,0,0,0,251600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_500,0,316800,0,0,0,0,69800,0,0,0,0,0,0,0,192800,180200,286800,111800,173600,286000,298400,244200,259400,164800,187600,208600,0,424800,502600,0,263400,67200,0,491000
TAX_501,0,115800,0,0,0,0,0,0,0,0,0,0,0,0,104000,126800,52400,63000,0,100800,159400,0,0,0,93600,116200,0,197000,360000,0,61800,0,0,151200
TAX_502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85800,0,0,0,0,0
TAX_503,0,632400,0,0,0,0,0,0,0,0,0,0,0,0,454000,462800,0,0,0,602600,619800,66200,98600,60400,0,0,314800,170400,225000,165400,0,386600,315600,107200
TAX_504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55200,0,0,0,0,0,0,0,219800
TAX_505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109400,0,55600,0,0,149000,154800,84600,0,0,0,0,0,79800,157800,0,0,67800
TAX_506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61800
TAX_507,0,234200,0,0,0,0,0,0,0,0,0,0,0,0,155400,170800,240800,0,128400,173000,243200,176400,127400,99000,81000,96000,149600,271600,412800,216000,196200,228000,160600,397600
TAX_508,0,65400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53800,0,0,50600,73000,0,0,0,0,0,0,91600,134600,0,0,60000,0,109400
